dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,update_time_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,thread_inedges_min,thread_inedges_avg,thread_inedges_max,thread_imbalance,thread_workers
skewed_100k_1m,directed,no_inv_static,1,8,8,10,0.021722000,0.204981000,0.001618000,0.074486696,0.000003000,0.000005000,0.001611000,0.019630000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,34783,125000.00,754848,6.038784,8
skewed_100k_1m,directed,no_inv_static,1,16,16,1,0.019002000,0.219602000,0.001570000,0.082622882,0.000003000,0.000004000,0.001563000,0.017107000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,1,16,16,2,0.018786000,0.189073000,0.001662000,0.088470137,0.000003000,0.000004000,0.001655000,0.016791000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,1,16,16,3,0.024682000,0.222092000,0.001683000,0.068187343,0.000006000,0.000008000,0.001669000,0.022652000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,1,16,16,4,0.020484000,0.184720000,0.001695000,0.082747510,0.000003000,0.000004000,0.001688000,0.018441000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,1,16,16,5,0.021784000,0.184544000,0.001872000,0.085934631,0.000003000,0.000004000,0.001864000,0.019555000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,1,16,16,6,0.018855000,0.189979000,0.001621000,0.085971891,0.000003000,0.000004000,0.001615000,0.016903000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,1,16,16,7,0.018459000,0.188590000,0.001562000,0.084619969,0.000004000,0.000005000,0.001554000,0.016565000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,1,16,16,8,0.022330000,0.190376000,0.001732000,0.077563815,0.000003000,0.000004000,0.001725000,0.020243000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,1,16,16,9,0.020424000,0.190576000,0.001910000,0.093517430,0.000004000,0.000006000,0.001900000,0.018166000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,1,16,16,10,0.019864000,0.196037000,0.001631000,0.082108337,0.000003000,0.000005000,0.001623000,0.017895000,20,1.084202e-19,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,2,8,16,1,0.021775000,0.200717000,0.019757000,0.907324914,0.000220000,0.017483000,0.002198000,0.019011000,20,1.084202e-19,PASS,50000,50000.00,50000,140249,500000.00,859751,1.720,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,2,8,16,2,0.019863000,0.189484000,0.018112000,0.911846146,0.000103000,0.015958000,0.002130000,0.017402000,20,1.084202e-19,PASS,50000,50000.00,50000,140249,500000.00,859751,1.720,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,2,8,16,3,0.021327000,0.183169000,0.018725000,0.877995030,0.000086000,0.016544000,0.002124000,0.018817000,20,1.084202e-19,PASS,50000,50000.00,50000,140249,500000.00,859751,1.720,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,2,8,16,4,0.027706000,0.197006000,0.021642000,0.781130441,0.000106000,0.019328000,0.002269000,0.023016000,20,1.084202e-19,PASS,50000,50000.00,50000,140249,500000.00,859751,1.720,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,2,8,16,5,0.037773000,0.210514000,0.035552000,0.941201387,0.000218000,0.033272000,0.002250000,0.020959000,20,1.084202e-19,PASS,50000,50000.00,50000,140249,500000.00,859751,1.720,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,2,8,16,6,0.021490000,0.189888000,0.019584000,0.911307585,0.000109000,0.017349000,0.002208000,0.018940000,20,1.084202e-19,PASS,50000,50000.00,50000,140249,500000.00,859751,1.720,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,2,8,16,7,0.023825000,0.189417000,0.021273000,0.892885624,0.000271000,0.018954000,0.002263000,0.021008000,20,1.084202e-19,PASS,50000,50000.00,50000,140249,500000.00,859751,1.720,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,2,8,16,8,0.020795000,0.183819000,0.018825000,0.905265689,0.000129000,0.016669000,0.002135000,0.018318000,20,1.084202e-19,PASS,50000,50000.00,50000,140249,500000.00,859751,1.720,17257,62500.00,737422,11.798752,16
skewed_100k_1m,directed,no_inv_static,2,8,16,9,0.027304000,0.198979000,0.024985000,0.915067389,0.000137000,0.022469000,0.002493000,0.024436000,20,1.084202e-19,PASS,50000,50000.00,50000,140249,500000.00,859751,1.720,17257,62500.00,737422,11.798752,16
