dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance
polblogs,directed,no_inv_static,4,4,16,24,0.029669000,0.032749000,0.022872000,0.770905659,0.020546000,0.006406000,0.001515000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,25,0.003959000,0.005930000,0.002913000,0.735791867,0.001006000,0.000854000,0.001313000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,26,0.006969000,0.008984000,0.005966000,0.856076912,0.003887000,0.000741000,0.001536000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,27,0.003215000,0.005077000,0.002284000,0.710419907,0.000348000,0.000782000,0.001278000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,28,0.007198000,0.009562000,0.006191000,0.860100028,0.003396000,0.001367000,0.001644000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,29,0.003296000,0.005322000,0.002256000,0.684466019,0.000322000,0.000730000,0.001330000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,no_inv_static,4,4,16,30,0.003407000,0.005425000,0.002463000,0.722923393,0.000397000,0.000841000,0.001328000,108,8.673617e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,1,16,16,1,0.021417000,0.023067000,0.000038000,0.001774291,0.000007000,0.000008000,0.000024000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,2,0.025124000,0.026823000,0.000053000,0.002109537,0.000013000,0.000013000,0.000027000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,3,0.022203000,0.024398000,0.000037000,0.001666441,0.000007000,0.000007000,0.000023000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,4,0.024722000,0.026826000,0.000039000,0.001577542,0.000007000,0.000007000,0.000025000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,5,0.021597000,0.023706000,0.000044000,0.002037320,0.000009000,0.000010000,0.000026000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,6,0.021098000,0.022907000,0.000039000,0.001848516,0.000008000,0.000007000,0.000024000,108,2.168404e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,7,0.022086000,0.023754000,0.000036000,0.001629992,0.000007000,0.000006000,0.000023000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,8,0.025273000,0.027232000,0.000043000,0.001701420,0.000009000,0.000010000,0.000025000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,9,0.022302000,0.024068000,0.000037000,0.001659044,0.000007000,0.000006000,0.000024000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,10,0.020639000,0.022290000,0.000036000,0.001744271,0.000007000,0.000007000,0.000022000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,11,0.024084000,0.025729000,0.000065000,0.002698887,0.000018000,0.000020000,0.000027000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,12,0.026114000,0.028758000,0.000046000,0.001761507,0.000010000,0.000009000,0.000027000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,13,0.035393000,0.037688000,0.000046000,0.001299692,0.000010000,0.000009000,0.000027000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,14,0.021833000,0.023678000,0.000040000,0.001832089,0.000007000,0.000008000,0.000024000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,15,0.022539000,0.024305000,0.000042000,0.001863437,0.000010000,0.000009000,0.000023000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,16,0.021929000,0.023688000,0.000041000,0.001869670,0.000010000,0.000007000,0.000023000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,17,0.020526000,0.022353000,0.000035000,0.001705154,0.000007000,0.000006000,0.000022000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,18,0.021236000,0.022992000,0.000041000,0.001930684,0.000009000,0.000008000,0.000024000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,19,0.022692000,0.024724000,0.000043000,0.001894941,0.000009000,0.000009000,0.000024000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,20,0.022437000,0.024477000,0.000043000,0.001916477,0.000009000,0.000009000,0.000024000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,21,0.027794000,0.029558000,0.000037000,0.001331223,0.000008000,0.000006000,0.000023000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,22,0.020547000,0.022187000,0.000032000,0.001557405,0.000006000,0.000005000,0.000021000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,23,0.021057000,0.022787000,0.000038000,0.001804626,0.000007000,0.000008000,0.000023000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,24,0.023176000,0.024813000,0.000040000,0.001725923,0.000008000,0.000008000,0.000024000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,25,0.021712000,0.023491000,0.000036000,0.001658069,0.000006000,0.000008000,0.000022000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,26,0.024286000,0.026137000,0.000041000,0.001688215,0.000008000,0.000007000,0.000026000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,27,0.022847000,0.024480000,0.000036000,0.001575699,0.000007000,0.000006000,0.000023000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,28,0.020818000,0.022426000,0.000035000,0.001681237,0.000007000,0.000006000,0.000022000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,29,0.023727000,0.026083000,0.000049000,0.002065158,0.000010000,0.000011000,0.000027000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,1,16,16,30,0.021377000,0.023374000,0.000042000,0.001964728,0.000010000,0.000009000,0.000023000,108,1.734723e-18,PASS,1224,1224.00,1224,19090,19090.00,19090,1.000
polblogs,directed,inv_static,4,4,16,1,0.007381000,0.009414000,0.006370000,0.863026690,0.003944000,0.000824000,0.001791000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,2,0.004322000,0.007270000,0.003381000,0.782276724,0.001208000,0.000749000,0.001552000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,3,0.003025000,0.004977000,0.002101000,0.694545455,0.000393000,0.000579000,0.001336000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,4,0.005032000,0.007010000,0.003943000,0.783585056,0.002202000,0.000531000,0.001356000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,5,0.003717000,0.005637000,0.002554000,0.687113263,0.001005000,0.000474000,0.001300000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,6,0.007672000,0.009851000,0.006752000,0.880083420,0.004563000,0.002395000,0.001342000,108,2.602085e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,7,0.003228000,0.005187000,0.002211000,0.684944238,0.000399000,0.000574000,0.001347000,108,2.602085e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,8,0.003113000,0.005094000,0.002201000,0.707035014,0.000438000,0.000530000,0.001334000,108,1.734723e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,9,0.005372000,0.007610000,0.004245000,0.790208488,0.002527000,0.000601000,0.001336000,108,2.602085e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
polblogs,directed,inv_static,4,4,16,10,0.043860000,0.045805000,0.040256000,0.917829457,0.016429000,0.015523000,0.009696000,108,2.602085e-18,PASS,306,306.00,306,250,4772.50,14932,3.129
